"bitermId", "word1", "word2", "tf","sim"
616,"搜救","航空公司",31,0.260899,
617,"升","段",43,0.0446895,
618,"安全","挑战赛",54,0.0384438,
619,"飞机","同学",47,0.0916304,
620,"出租车","发起",39,0.0136202,
621,"决赛","球迷",40,0.258183,
622,"欧冠","迎战",51,0.406827,
623,"中国","央视",99,0.448514,
624,"打车","乘客",375,0.299633,
625,"进行","黑匣子",44,0.196704,
626,"航行","蓝鳍",38,0.161412,
627,"场","点球",47,0.287046,
628,"百度","文",91,0.0218245,
629,"马航","波音",40,0.542951,
630,"马航","万",84,0.114702,
631,"报道","残骸",32,0.220628,
632,"中国","拍",83,0.0442295,
633,"客机","吉隆坡",124,0.23252,
634,"皇马","去年",33,0.355063,
635,"比赛","次",68,0.265193,
636,"管家","安全卫士",45,0.142325,
637,"北京","双方",33,0.176736,
638,"挺住","牛奶",31,0.0790356,
639,"兰州","广州",50,0.296278,
640,"用户","支持",171,0.353483,
641,"马","海军",36,0.0181812,
642,"市民","水务",44,0.170943,
643,"客机","表示",71,0.190395,
644,"客机","继续",44,0.183557,
645,"赛季","首回合",46,0.253228,
646,"切尔西","巴萨",251,0.295273,
647,"琍","伊",34,0.0992276,
648,"舌尖","真是",65,0.0920821,
649,"中国","报",71,0.202046,
650,"中国","吃货",121,0.0263577,
651,"手机","操作",40,0.28031,
652,"决赛","官方",39,0.0808987,
653,"飞机","架飞机",31,0.642266,
654,"服务","电脑",98,0.244884,
655,"失","马伊俐",38,0.0574751,
656,"过程","行车",31,0.137129,
657,"时间","完",31,0.196678,
658,"航班","脉冲",37,0.133135,
659,"事件","客机",128,0.219461,
660,"司机","显示",89,0.0950814,
661,"歌手","之后",32,0.0272529,
662,"马来西亚","遭",45,0.0299343,
663,"吃","每次",36,0.277423,
664,"巴黎","扳平",46,0.121463,
665,"显示","数据",41,0.498462,
666,"强","整个",47,0.0693225,
667,"黑匣子","发出",46,0.229555,
668,"苯","凌晨",50,0.011466,
669,"苯","部门",31,0.0558776,
670,"确定","坠毁",44,0.127546,
671,"自来水","公布",34,0.114043,
672,"居民","诉讼",39,0.181182,
673,"阿森纳","厄齐尔",72,0.420975,
674,"用户","表示",113,0.295027,
675,"含量","高",45,0.175085,
676,"旅游","东南亚",52,0.32823,
677,"事故","年代",32,0.0649741,
678,"比赛","阿森纳",67,0.449678,
679,"系统","国内",93,0.175111,
680,"球场","点球",51,0.257572,
681,"克罗斯","伊尔",42,0.524046,
682,"拯救","赞",69,0.00198058,
683,"打车","睡",37,0.259059,
684,"欧冠","宣布",120,0.192602,
685,"强","顶",46,0.0794951,
686,"车","停",32,0.343177,
687,"欧冠","纪录",101,0.30843,
688,"保护","距",59,0.0697152,
689,"点","超标",57,0.101424,
690,"软件","超",39,0.0890349,
691,"嘀嘀","用户数",68,0.148632,
692,"市民","水厂",39,0.239604,
693,"兰州","总",47,0.035844,
694,"用户","保护",76,0.152993,
695,"马来西亚","官员",36,0.0355466,
696,"失联","搜索",107,0.278947,
697,"失联","吉隆坡",31,0.0140633,
698,"微信","支付",42,0.259991,
699,"拯救","出轨",141,0.163777,
700,"身份","数百名",48,0.204288,
701,"污染","升",33,0.00977576,
702,"吃","回来",72,0.324513,
703,"欧冠","沙尔克",69,0.699159,
704,"球队","本赛季",59,0.574631,
705,"中国","展开",34,0.100229,
706,"欧冠","肯定",32,0.168204,
707,"马航","北京",142,0.0639532,
708,"主场","回合",124,0.427578,
709,"队长","小猪",32,0.111746,
710,"舌尖","美食",794,0.178289,
711,"兰州","央视",34,0.176202,
712,"欧冠","正式",46,0.160393,
713,"器","航行",46,0.123503,
714,"马","机长",63,0.0542637,
715,"北京","篮板",35,0.0637112,
716,"马","海巡",42,0.0144168,
717,"珍惜","小伙子",44,0.233463,
718,"替补","克罗斯",41,0.220568,
719,"遭","抵制",32,0.273798,
720,"下车","挣钱",64,0.215428,
721,"安全","服务",117,0.343455,
722,"拜仁","对阵",135,0.496517,
723,"皇马","北京",53,0.0318729,
724,"欧冠","八强",66,0.624092,
725,"阿森纳","温格",38,0.49258,
726,"决赛","北京",120,0.13776,
727,"自来水","处置",31,0.26493,
728,"提醒","病毒",37,0.070145,
729,"服务","厂商",46,0.288525,
730,"赛季","回合",86,0.360479,
731,"整个","班",31,0.0145676,
732,"师傅","哭",32,0.0745836,
733,"夺冠","利物浦",32,0.350696,
734,"希望","下车",33,0.0624884,
735,"游戏","真实",39,0.318275,
736,"事件","问题",57,0.444519,
737,"东莞","破产",39,0.0624251,
738,"拜仁","切尔西",192,0.603627,
739,"抹黑","跟踪",120,0.307259,
740,"天气","蔬菜",51,0.159952,
741,"欧冠","队长",66,0.179204,
742,"分钟","挑战赛",42,0.0882591,
743,"比赛","半决赛",41,0.512286,
744,"马","遭",124,0.0349633,
745,"马航","全",157,0.0848018,
746,"中国","历史",49,0.326457,
747,"飞机","降落",43,0.577163,
748,"马航","连续",35,0.0810857,
749,"袭击","伤",56,0.311276,
750,"曼联","对决",32,0.12057,
751,"事件","超标",152,0.214591,
752,"点","央视",52,0.226644,
753,"赛季","绝杀",32,0.405834,
754,"文章","菲律宾",78,0.0511911,
755,"航","赴",32,0.107431,
756,"澳大利亚","皇家",31,0.311797,
757,"拜仁","鲁尼",35,0.462299,
758,"quot","司机",32,0.0117705,
759,"司机","挣钱",32,0.243495,
760,"公司","部",50,0.219247,
761,"兰州","约",33,0.0567917,
